type_train,algorithm,model,train_acc,test_acc,test_matrix,val_acc,val_matrix
ml_pca_scaled,logistic_regression_1,LogisticRegression(),32.60764726,31.91401406,[[1531  862] [2432   13]],32.09340773,[[1533  857] [2429   20]]
ml_pca_scaled,svc_1,SVC(),87.7988288,87.99090533,[[1868  525] [  56 2389]],87.91072536,[[1860  530] [  55 2394]]
ml_pca_scaled,random_forest_1,RandomForestClassifier(),99.97933173,83.21620504,[[1998  395] [ 417 2028]],83.09568093,[[1969  421] [ 397 2052]]
ml_pca_scaled,naive_bayes_1,GaussianNB(),88.34309335,88.59032658,[[1904  489] [  63 2382]],88.15871048,[[1895  495] [  78 2371]]
ml_pca_scaled,decision_tree_1,DecisionTreeClassifier(),99.99311058,83.17486565,[[1996  397] [ 417 2028]],83.09568093,[[1969  421] [ 397 2052]]
ml_pca_scaled,knn_1,KNeighborsClassifier(n_neighbors=2),91.47778161,79.39231087,[[2106  287] [ 710 1735]],79.66522009,[[2099  291] [ 693 1756]]
ml_pca_scaled,logistic_regression_2,LogisticRegression(),60.6682742,60.21083092,[[1027 1366] [ 559 1886]],59.14445133,[[1019 1371] [ 606 1843]]
ml_pca_scaled,svc_2,SVC(),88.34309335,88.54898718,[[1861  532] [  22 2423]],88.22070676,[[1841  549] [  21 2428]]
ml_pca_scaled,random_forest_2,RandomForestClassifier(),99.99311058,90.84332369,[[2103  290] [ 153 2292]],90.57656541,[[2078  312] [ 144 2305]]
ml_pca_scaled,naive_bayes_2,GaussianNB(),86.72407854,87.49483258,[[1885  508] [  97 2348]],86.44348006,[[1843  547] [ 109 2340]]
ml_pca_scaled,decision_tree_2,DecisionTreeClassifier(),100.0,87.84621745,[[2110  283] [ 305 2140]],87.41475511,[[2061  329] [ 280 2169]]
ml_pca_scaled,knn_2,KNeighborsClassifier(n_neighbors=2),93.84085429,85.44853245,[[2212  181] [ 523 1922]],85.92684439,[[2191  199] [ 482 1967]]
ml_pca_scaled,logistic_regression_3,LogisticRegression(),84.96038581,84.47705663,[[1771  622] [ 129 2316]],85.03823104,[[1778  612] [ 112 2337]]
ml_pca_scaled,svc_3,SVC(),92.31829142,91.93881769,[[2069  324] [  66 2379]],91.961149,[[2053  337] [  52 2397]]
ml_pca_scaled,random_forest_3,RandomForestClassifier(),100.0,96.13476643,[[2247  146] [  41 2404]],95.63959496,[[2232  158] [  53 2396]]
ml_pca_scaled,naive_bayes_3,GaussianNB(),91.12642094,90.98801158,[[2025  368] [  68 2377]],90.88654681,[[2024  366] [  75 2374]]
ml_pca_scaled,decision_tree_3,DecisionTreeClassifier(),100.0,94.00578752,[[2243  150] [ 140 2305]],93.75904112,[[2242  148] [ 154 2295]]
ml_pca_scaled,knn_3,KNeighborsClassifier(n_neighbors=2),97.57492249,93.61306325,[[2283  110] [ 199 2246]],93.80037198,[[2289  101] [ 199 2250]]
ml_pca_scaled,logistic_regression_4,LogisticRegression(),86.95142956,86.81273253,[[1871  522] [ 116 2329]],86.77412689,[[1854  536] [ 104 2345]]
ml_pca_scaled,svc_4,SVC(),94.17154668,93.75775114,[[2136  257] [  45 2400]],93.36639802,[[2106  284] [  37 2412]]
ml_pca_scaled,random_forest_4,RandomForestClassifier(),100.0,96.79619678,[[2274  119] [  36 2409]],96.19756148,[[2253  137] [  47 2402]]
ml_pca_scaled,naive_bayes_4,GaussianNB(),90.28591113,90.24390244,[[2011  382] [  90 2355]],89.89460632,[[2010  380] [ 109 2340]]
ml_pca_scaled,decision_tree_4,DecisionTreeClassifier(),100.0,94.56386937,[[2254  139] [ 124 2321]],94.60632362,[[2249  141] [ 120 2329]]
