episode;steps;steps_try_grab_apple;initial_position_apple;current_exploration;time;mean_time;mean_fps;reward;last_reward;last_code_grab_overlap;last_code_arm_collision;last_drone_collision;last_action;last_state
0;39;3;(1.2495442628860474, -0.20636089146137238, -2.0402235984802246);0.35;8.176965236663818;0.20966577529907227;4.769495634533467;956.7007446968233;947.2640474661355;21001;10000;False;(0.07685954123735428, -0.008056028746068478, -0.17345573008060455);{'bbox': [0.4559285044670105, 0.5780600441826714, 0.5390456318855286, 0.7332328160603842], 'velocity': (0.04436231777071953, -0.002320359693840146, -0.01029721274971962)}
1;43;2;(1.3995897769927979, -0.412895530462265, -2.130629301071167);0.35;7.023655891418457;0.16334083468415017;6.122167809009214;948.1388680899636;933.850802914832;21001;10000;False;(0.08586672437197175, 0.005842605856858349, -0.22057798801133072);{'bbox': [0.4559583365917206, 0.577912277645535, 0.5389559268951416, 0.7283120685153537], 'velocity': (0.04499724879860878, -0.0007458311156369746, -0.026271909475326538)}
2;39;4;(1.3109557628631592, 0.2485213428735733, -1.8120250701904297);0.35;6.145324468612671;0.15757242227211976;6.346288173910595;-88.51183504739345;-100.12812650063728;21001;10002;False;(0.07847540825605392, 0.006562299095094204, -0.16750669479370117);{'bbox': [0.4563559293746948, 0.5775231255425347, 0.5402035713195801, 0.7298698955112033], 'velocity': (0.05751949921250343, -0.0071190097369253635, 0.017021171748638153)}
3;42;3;(1.4124910831451416, -0.5447058081626892, -1.8886289596557617);0.35;6.567522287368774;0.1563695782706851;6.3951058195535975;957.4547956563524;941.2717822215815;21001;10000;False;(0.050954682145979945, 0.013611229272776373, -0.18236300374062034);{'bbox': [0.45613187551498413, 0.5777172512478299, 0.5387521982192993, 0.7307403352525499], 'velocity': (0.053248561918735504, -0.002871765522286296, 0.003928935620933771)}
4;39;3;(1.3210859298706055, 0.2987092435359955, -1.7498687505722046);0.35;6.037029981613159;0.15479564055418357;6.460130249275121;932.5097847461578;919.854732268748;21001;10000;False;(0.13288276787759237, 0.05025876755828451, -0.11311096728631356);{'bbox': [0.45734265446662903, 0.5965325037638346, 0.5408158898353577, 0.7426935831705729], 'velocity': (0.05181087553501129, 0.0010917345061898232, 0.038207005709409714)}
5;39;3;(1.2846037149429321, 0.45623841881752014, -1.9194773435592651);0.35;6.174769639968872;0.15832742666586852;6.316025094694319;942.9352350845874;929.9255216692238;21001;10000;False;(0.0857175812125206, -0.0073891556821763515, -0.17469657957553864);{'bbox': [0.45941731333732605, 0.5775948630438911, 0.5406540036201477, 0.7267907460530599], 'velocity': (0.05284368246793747, 0.001964349066838622, -0.007721865549683571)}
6;34;3;(1.2672955989837646, -0.4258541762828827, -2.237578868865967);0.35;5.28096604347229;0.15532253069036148;6.4382159855064405;952.9537625933071;939.8974952370503;21001;10000;False;(0.05986814706589947, 0.01675582571566482, -0.19097944337176936);{'bbox': [0.4561217129230499, 0.5778535207112631, 0.5391497611999512, 0.7316103511386447], 'velocity': (0.050782687962055206, -0.011433612555265427, -0.006085798144340515)}
7;36;4;(1.2254964113235474, 0.5371184945106506, -2.0885415077209473);0.35;5.6248133182525635;0.15624481439590454;6.4002124093931645;959.1335741770936;945.7690027288762;21001;10000;False;(0.11104614098100377, -0.027637703820974226, -0.13804353705968253);{'bbox': [0.46316149830818176, 0.57705201043023, 0.5453544855117798, 0.7310915523105197], 'velocity': (0.04540633782744408, 0.004939807578921318, -0.009540701285004616)}
8;39;4;(1.3688732385635376, 0.08678750693798065, -2.093794822692871);0.35;6.1029052734375;0.15648475060096154;6.390399039903991;928.5023582738811;917.4239378006097;21001;10000;False;(0.10070935940775491, 0.02548031430889927, -0.13873859890029183);{'bbox': [0.4559909701347351, 0.5778516663445367, 0.5386363863945007, 0.7247602674696181], 'velocity': (0.0527268685400486, -0.004170188680291176, -0.01662978157401085)}
9;43;4;(1.3773937225341797, -0.49486029148101807, -1.8760573863983154);0.35;6.795589447021484;0.15803696388422056;6.327633582815536;963.4067082439421;948.3003532005637;21001;10000;False;(0.07307511313879873, 0.007007096642580965, -0.17872549528780643);{'bbox': [0.4561159014701843, 0.5788300302293565, 0.5400391817092896, 0.734933959113227], 'velocity': (0.046354588121175766, -0.0008777809562161565, -0.011436402797698975)}
