episode;NR_collected;NG_collected;OR_collected;OG_collected;NR_available;NG_available;OR_available;OG_available
0;40;0;2;0;39;18;43;22
1;40;0;0;0;40;16;26;34
2;35;0;0;0;39;21;35;27
3;34;0;0;0;34;25;37;28
4;30;0;0;0;33;26;38;26
5;33;0;0;0;33;28;39;24
6;38;0;0;0;41;23;34;35
7;31;0;0;0;33;26;43;26
8;34;0;0;0;34;26;45;23
9;33;0;0;0;40;19;27;24
10;29;0;0;0;30;28;39;22
11;34;0;0;0;36;16;43;15
12;43;0;0;0;44;20;34;24
13;37;0;0;0;38;20;44;22
14;36;0;0;0;36;24;36;20
15;33;0;0;0;33;25;40;25
16;40;0;0;0;45;24;44;23
17;36;0;0;0;36;26;30;33
18;44;0;0;0;44;32;41;22
19;39;0;0;0;39;24;33;23
20;38;0;0;0;38;24;40;21
21;28;0;0;0;28;28;32;27
22;41;0;0;0;41;20;38;28
23;40;0;0;0;40;24;34;36
24;37;0;1;0;37;18;44;18
25;33;0;0;0;33;24;34;22
26;36;0;0;0;36;23;36;16
27;37;0;0;0;37;25;38;25
28;34;0;0;0;35;25;43;22
29;32;0;0;0;32;20;44;18
30;32;0;0;0;33;26;42;21
31;29;0;0;0;31;27;40;21
32;35;0;0;0;35;25;39;21
33;36;0;0;0;37;24;45;24
34;36;0;0;0;36;19;32;26
35;35;0;1;0;36;22;28;32
36;28;0;0;0;28;31;37;29
37;31;0;0;0;31;20;37;29
38;29;0;0;0;30;30;31;28
39;31;0;0;0;31;27;35;29
40;34;0;0;0;34;27;40;26
41;42;0;0;0;42;23;39;29
42;32;0;0;0;32;29;30;24
43;38;0;0;0;38;27;32;34
44;31;0;0;0;32;23;28;25
45;36;0;0;0;36;24;37;23
46;28;0;0;0;31;26;33;19
47;39;0;0;0;39;25;43;18
48;41;0;1;0;41;20;44;22
49;37;0;0;0;37;30;32;28
50;38;0;0;0;38;25;25;25
51;28;0;0;0;27;28;32;22
52;44;0;0;0;44;17;36;26
53;36;0;0;0;36;23;40;16
54;35;0;0;0;35;26;38;28
55;42;0;0;0;42;17;48;21
56;38;0;0;0;39;23;38;21
57;43;0;0;0;43;21;34;28
58;35;0;0;0;36;31;35;39
59;44;0;0;0;47;20;27;29
60;40;0;0;0;40;11;39;24
61;30;0;0;0;30;27;33;24
62;43;0;0;0;44;16;33;18
63;34;0;0;0;34;27;34;20
64;35;0;0;0;36;23;41;24
65;36;1;0;0;37;23;48;17
66;42;0;0;0;43;22;41;17
67;34;0;0;0;34;17;38;26
68;40;0;0;0;47;22;33;31
69;46;0;1;0;46;20;44;18
70;30;0;0;0;30;30;32;27
71;35;0;0;0;36;26;36;24
72;32;0;0;0;33;20;34;25
73;38;0;0;0;38;27;35;20
74;41;0;0;0;42;22;30;27
75;40;0;0;0;41;20;28;26
